Date,Open,High,Low,Close,Volume,symbol
2025-03-07,234.08974000390756,240.32256924437755,233.74125275300776,238.03256225585938,46273600,AAPL
2025-03-10,234.5178647329352,235.13518456664028,223.24699590534985,226.4928436279297,72071200,AAPL
2025-03-11,222.83878108425105,224.85997074742775,216.5063794973434,219.8816680908203,76137400,AAPL
2025-03-12,219.18469713036333,220.78771110845915,213.9773970817033,216.0384063720703,62547500,AAPL
2025-03-13,215.01289169752292,215.89902897504837,207.51556900756947,208.7700958251953,61368300,AAPL
2025-03-14,210.33328309966757,213.0215634427817,208.67053186821337,212.56356811523438,60107600,AAPL
2025-03-17,212.3843419118567,214.28605714072168,209.0588394397278,213.07135009765625,48073400,AAPL
2025-03-18,213.23065092190424,214.21634506867483,210.57223927739028,211.76702880859375,42432400,AAPL
2025-03-19,213.29037609854922,217.81066771448715,212.82241448637808,214.3059539794922,54385400,AAPL
2025-03-20,213.0614056873257,216.54621759798974,211.29908226715483,213.17092895507812,48862900,AAPL
2025-03-21,210.64192650603025,217.89033350890864,210.36314278996363,217.32281494140625,94127800,AAPL
2025-03-24,220.04097309502072,220.5188858867363,217.63147647971348,219.7721405029297,44299500,AAPL
2025-03-25,219.81198848707382,223.1275400112128,219.12498026235477,222.779052734375,34493600,AAPL
2025-03-26,222.54005264880033,224.04350959032922,219.51325168877747,220.5686492919922,34466100,AAPL
2025-03-27,220.42925455550719,224.0136380596445,219.60285460337076,222.8785858154297,37094800,AAPL
2025-03-28,220.7080664246457,222.8387793372666,216.73537546649092,216.9544219970703,39818600,AAPL
2025-03-31,216.0682695484103,224.6409066608951,215.29165561007284,221.1660614013672,65299300,AAPL
2025-04-01,218.85612876373423,222.70932997882656,217.95007407622174,222.22146606445312,36412700,AAPL
2025-04-02,220.3595869543347,224.21278818927524,220.06088576879955,222.91842651367188,35905900,AAPL
2025-04-03,204.64805110026137,206.58960121618028,200.37667426890133,202.30825805664062,103419000,AAPL
2025-04-04,193.0486144227304,199.01262630823254,186.52703508606032,187.56253051757812,125910900,AAPL
2025-04-07,176.43103817745248,193.30748067285785,173.86223225537526,180.6725616455078,160466300,AAPL
2025-04-08,185.88981432593783,189.5140179775097,168.47572171547168,171.67178344726562,120859500,AAPL
2025-04-09,171.20381523449285,199.7394480269994,171.14407803694525,197.98709106445312,184395900,AAPL
2025-04-10,188.24955627509658,193.93476977334223,182.20588916182834,189.59368896484375,121880000,AAPL
2025-04-11,185.2924188893916,198.67408279715283,185.2525839628914,197.2901153564453,87435900,AAPL
2025-04-14,210.52246440005902,212.01595519155484,200.28707539108044,201.64117431640625,101352900,AAPL
2025-04-15,200.98403365195668,202.62686743682656,198.93297540670014,201.2628173828125,51343900,AAPL
2025-04-16,197.49920369317184,199.8290454554037,191.53519224238798,193.4269561767578,59732400,AAPL
2025-04-17,196.34424488667963,197.9671763411939,193.5763099497932,196.1251983642578,52164700,AAPL
2025-04-21,192.43128533414372,192.9589841185958,188.98629374468007,192.32176208496094,46742500,AAPL
2025-04-22,195.26894368988752,200.715208155226,195.1196006832811,198.8732452392578,52976400,AAPL
2025-04-23,205.10607692070187,207.0973980558543,201.91996614297287,203.712158203125,52929200,AAPL
2025-04-24,204.00088023313933,207.92378505310097,202.0593452871763,207.4657745361328,47311000,AAPL
2025-04-25,205.47445049920006,208.8397878176709,205.30519003897632,208.371826171875,38222300,AAPL
2025-04-28,209.08871177088434,210.5822025692478,206.55974070372147,209.2281036376953,38743100,AAPL
2025-04-29,207.78437328663372,211.3189707788267,207.4657546631633,210.29344177246094,36827600,AAPL
2025-04-30,208.39173986928208,212.65316547487808,205.7731479657814,211.57785034179688,52286500,AAPL
2025-05-01,208.1726964341785,213.62891164873253,207.99346964638974,212.39430236816406,57365700,AAPL
2025-05-02,205.19567188008233,206.0917754590827,201.2827333487594,204.45889282226562,101010600,AAPL
2025-05-05,202.21865389928206,203.21431440062256,197.34987465543003,198.02691650390625,69018500,AAPL
2025-05-06,197.3498735756035,199.77927242381972,196.16503515467957,197.6485595703125,51216500,AAPL
2025-05-07,198.30570335142838,198.574535944944,192.41139491378883,195.39837646484375,68536700,AAPL
2025-05-08,196.86199326420865,199.18188402861682,193.83517686729027,196.63299560546875,50478900,AAPL
2025-05-09,198.1364339272832,199.6697443694255,196.6827629534363,197.66847229003906,36453900,AAPL
2025-05-12,210.32995926202443,210.6290521628615,206.1227607044075,210.15049743652344,63775800,AAPL
2025-05-13,209.79158118866218,212.75257189298435,208.36592688565332,212.28399658203125,51909300,AAPL
2025-05-14,211.78550901932945,213.29093762104833,209.94113079478424,211.68582153320312,49325800,AAPL
2025-05-15,210.31001909194578,212.31393091132972,208.90429308394448,210.80850219726562,45029500,AAPL
2025-05-16,211.71573318604425,211.92510277199543,209.1335944967917,210.6190643310547,54737900,AAPL
