Date,symbol,Open,High,Low,Close,Volume,daily_return,MA20,MA50,signal
2025-03-07,AAPL,234.0897400039076,240.32256924437755,233.74125275300776,238.03256225585935,46273600,0.01684320830073944,,,HOLD
2025-03-10,AAPL,234.5178647329352,235.13518456664028,223.24699590534985,226.4928436279297,72071200,-0.03421923150351157,,,HOLD
2025-03-11,AAPL,222.8387656202518,224.8599551431671,216.50636447278404,219.88165283203125,76137400,-0.013270190130472507,,,HOLD
2025-03-12,AAPL,219.18469713036333,220.78771110845915,213.9773970817033,216.0384063720703,62547500,-0.014354518355912945,,,HOLD
2025-03-13,AAPL,215.01287598245443,215.899013195213,207.51555384047248,208.77008056640625,61368300,-0.029034518921358034,,,HOLD
2025-03-14,AAPL,210.3332680009786,213.02154815111564,208.67051688888432,212.5635528564453,60107600,0.010603576299001565,,,HOLD
2025-03-17,AAPL,212.3843419118567,214.28605714072168,209.0588394397278,213.07135009765625,48073400,0.0032347402808285955,,,HOLD
2025-03-18,AAPL,213.23065092190424,214.21634506867483,210.57223927739028,211.76702880859372,42432400,-0.006864032478363407,,,HOLD
2025-03-19,AAPL,213.2903760985492,217.81066771448715,212.82241448637808,214.3059539794922,54385400,0.00476148009825703,,,HOLD
2025-03-20,AAPL,213.0613904363763,216.5462020975973,211.29906714235267,213.17091369628903,48862900,0.0005140455513239764,,,HOLD
2025-03-21,AAPL,210.64192650603025,217.89033350890864,210.36314278996363,217.32281494140625,94127800,0.031716802757141255,,,HOLD
2025-03-24,AAPL,220.04097309502072,220.5188858867363,217.63147647971348,219.7721405029297,44299500,-0.0012217387894160041,,,HOLD
2025-03-25,AAPL,219.81197343150768,223.1275247285548,219.1249652538438,222.77903747558597,34493600,0.013498191193860544,,,HOLD
2025-03-26,AAPL,222.5400680439697,224.04352508950677,219.51326687455483,220.56866455078125,34466100,-0.008858645144293516,,,HOLD
2025-03-27,AAPL,220.4292696466093,224.0136533961419,219.6028696378956,222.87860107421875,37094800,0.011111643347256934,,,HOLD
2025-03-28,AAPL,220.7080664246457,222.8387793372666,216.7353754664909,216.9544219970703,39818600,-0.017007282463130782,,,HOLD
2025-03-31,AAPL,216.0682695484103,224.6409066608951,215.29165561007284,221.1660614013672,65299300,0.02359343120399596,,,HOLD
2025-04-01,AAPL,218.85614379144317,222.70934527111467,217.95008904171655,222.2214813232422,36412700,0.015376938812400804,,,HOLD
2025-04-02,AAPL,220.35960203797092,224.2128035366635,220.06090083198967,222.9184417724609,35905900,0.011612109074552924,,,HOLD
2025-04-03,AAPL,204.64803566499705,206.58958563447752,200.37665915579905,202.3082427978516,103419000,-0.011433253485880684,218.1492126464844,,HOLD
2025-04-04,AAPL,193.0486144227304,199.0126263082325,186.52703508606032,187.56253051757807,125910900,-0.028418147012125725,215.6257110595703,,HOLD
2025-04-07,AAPL,176.43103817745248,193.30748067285785,173.86223225537526,180.6725616455078,160466300,0.02404068757895793,213.3346969604492,,HOLD
2025-04-08,AAPL,185.88979780340043,189.5140011328404,168.4757067407598,171.67176818847656,120859500,-0.0764863364366077,210.9242027282715,,HOLD
2025-04-09,AAPL,171.20381523449285,199.7394480269994,171.14407803694525,197.98709106445312,184395900,0.1564408818417744,210.02163696289062,,HOLD
2025-04-10,AAPL,188.24952597387417,193.9347385570105,182.205859833413,189.5936584472656,121880000,0.007140163920401948,209.06281585693358,,HOLD
2025-04-11,AAPL,185.2924188893916,198.67408279715283,185.2525839628914,197.2901153564453,87435900,0.06475006661883785,208.29914398193358,,HOLD
2025-04-14,AAPL,210.52246440005905,212.01595519155484,200.28707539108044,201.64117431640625,101352900,-0.0421868996687002,207.7276351928711,,HOLD
